Michelle Waterson,Paige VanZant,Technical Submission,Rear-Naked Choke,John McCarthy,1,3:21,/fighter/Michelle-Waterson-23091,/fighter/Paige-VanZant-99019,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Mickey Gall,Sage Northcutt,Submission,Rear-Naked Choke,Herb Dean,2,1:40,/fighter/Mickey-Gall-160145,/fighter/Sage-Northcutt-130911,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Urijah Faber,Brad Pickett,Decision,Unanimous,John McCarthy,3,5:00,/fighter/Urijah-Faber-8847,/fighter/Brad-Pickett-11743,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Alan Jouban,Mike Perry,Decision,Unanimous,Herb Dean,3,5:00,/fighter/Alan-Jouban-65878,/fighter/Mike-Perry-176179,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Paul Craig,Luis Henrique da Silva,Submission,Armbar,Mike Beltran,2,1:59,/fighter/Paul-Craig-110167,/fighter/Luis-Henrique-da-Silva-175493,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Mizuto Hirota,Cole Miller,Decision,Unanimous,Edward Collantes,3,5:00,/fighter/Mizuto-Hirota-12078,/fighter/Cole-Miller-13133,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Colby Covington,Bryan Barberena,Decision,Unanimous,Mike Beltran,3,5:00,/fighter/Colby-Covington-57269,/fighter/Bryan-Barberena-51471,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Alex Morono,James Moontasri,Decision,Unanimous,John McCarthy,3,5:00,/fighter/Alex-Morono-64894,/fighter/James-Moontasri-36889,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Josh Emmett,Scott Holtzman,Decision,Unanimous,Herb Dean,3,5:00,/fighter/Josh-Emmett-85885,/fighter/Scott-Holtzman-78210,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Leslie Smith,Irene Aldana,Decision,Unanimous,Mike Beltran,3,5:00,/fighter/Leslie-Smith-46542,/fighter/Irene-Aldana-148377,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Eddie Wineland,Takeya Mizugaki,TKO,Punches,Edward Collantes,1,3:04,/fighter/Eddie-Wineland-4173,/fighter/Takeya-Mizugaki-12074,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Hector Sandoval,Fredy Serrano,Decision,Unanimous,Mike Beltran,3,5:00,/fighter/Hector-Sandoval-35409,/fighter/Fredy-Serrano-112413,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Sultan Aliev,Bojan Velickovic,Decision,Split,Edward Collantes,3,5:00,/fighter/Sultan-Aliev-89761,/fighter/Bojan-Velickovic-76620,0016-06-20T00:00:00.000-05:17:32,UFC,UFC on Fox 22,VanZant vs. Waterson,"Golden 1 Center, Sacramento, California, United States",http://www.sherdog.com/events/UFC-on-Fox-22-VanZant-vs-Waterson-55003
Muhammed Lawal,Satoshi Ishii,Decision,Unanimous,Dan,3,5:00,/fighter/Muhammed-Lawal-29858,/fighter/Satoshi-Ishii-41887,0016-06-10T00:00:00.000-05:17:32,Bellator,Bellator 169,King Mo vs. Ishii,"3Arena, Dublin, Ireland",http://www.sherdog.com/events/Bellator-169-King-Mo-vs-Ishii-55743
James Gallagher,Anthony Taylor,Submission,Rear-Naked Choke,Marc Goddard,3,1:52,/fighter/James-Gallagher-77588,/fighter/Anthony-Taylor-173233,0016-06-10T00:00:00.000-05:17:32,Bellator,Bellator 169,King Mo vs. Ishii,"3Arena, Dublin, Ireland",http://www.sherdog.com/events/Bellator-169-King-Mo-vs-Ishii-55743
Sinead Kavanagh,Elina Kallionidou,Decision,Unanimous,Dan Miragliotta,3,5:00,/fighter/Sinead-Kavanagh-162541,/fighter/Elina-Kallionidou-186033,0016-06-10T00:00:00.000-05:17:32,Bellator,Bellator 169,King Mo vs. Ishii,"3Arena, Dublin, Ireland",http://www.sherdog.com/events/Bellator-169-King-Mo-vs-Ishii-55743
